id,name,position,team
10420,David Ospina,Goalkeeper,Arsenal
2651,Petr Cech,Goalkeeper,Arsenal
10422,Matt Macey,Goalkeeper,Arsenal
5368,Sead Kolasinac,Defender,Arsenal
4546,Mathieu Debuchy,Defender,Arsenal
3046,Kieran Gibbs,Defender,Arsenal
4246,Per Mertesacker,Defender,Arsenal
10423,Gabriel,Defender,Arsenal
4030,Laurent Koscielny,Defender,Arsenal
11575,Rob Holding,Defender,Arsenal
4472,Nacho Monreal,Defender,Arsenal
3869,Shkodran Mustafi,Defender,Arsenal
4620,Calum Chambers,Defender,Arsenal
4474,Héctor Bellerín,Defender,Arsenal
4248,Carl Jenkinson,Defender,Arsenal
21627,Cohen Bramall,Defender,Arsenal
3548,Aaron Ramsey,Midfielder,Arsenal
3547,Jack Wilshere,Midfielder,Arsenal
4714,Mesut Özil,Midfielder,Arsenal
4252,Alex Oxlade-Chamberlain,Midfielder,Arsenal
4717,Alex Iwobi,Midfielder,Arsenal
4477,Santiago Cazorla,Midfielder,Arsenal
12136,Granit Xhaka,Midfielder,Arsenal
13123,Jeff Reine-Adelaide,Midfielder,Arsenal
3549,Francis Coquelin,Midfielder,Arsenal
5239,Mohamed Elneny,Midfielder,Arsenal
10428,Ainsley Maitland-Niles,Midfielder,Arsenal
13121,Ben Sheaf,Midfielder,Arsenal
10426,Krystian Bielik,Midfielder,Arsenal
14446,Joe Willock,Midfielder,Arsenal
4973,Alexis Sánchez,Forward,Arsenal
7081,Lucas Pérez,Forward,Arsenal
4481,Olivier Giroud,Forward,Arsenal
2839,Theo Walcott,Forward,Arsenal
3452,Danny Welbeck,Forward,Arsenal
4482,Chuba Akpom,Forward,Arsenal
14457,Josh Da Silva,Forward,Arsenal
4254,Joel Campbell,Forward,Arsenal
6899,Alexandre Lacazette,Forward,Arsenal
14456,Donyell Malen,Forward,Arsenal
14450,Reiss Nelson,Forward,Arsenal
14451,Eddie Nketiah,Forward,Arsenal
2537,Asmir Begovic,Goalkeeper,AFC Bournemouth
4601,Artur Boruc,Goalkeeper,AFC Bournemouth
13703,Aaron Ramsdale,Goalkeeper,AFC Bournemouth
3182,Adam Federici,Goalkeeper,AFC Bournemouth
4499,Nathan Aké,Defender,AFC Bournemouth
8044,Simon Francis,Defender,AFC Bournemouth
8045,Steve Cook,Defender,AFC Bournemouth
3242,Charlie Daniels,Defender,AFC Bournemouth
9030,Brad Smith,Defender,AFC Bournemouth
3512,Adam Smith,Defender,AFC Bournemouth
3471,Marc Wilson,Defender,AFC Bournemouth
8900,Tyrone Mings,Defender,AFC Bournemouth
9869,Baily Cargill,Defender,AFC Bournemouth
2678,Rhoys Wiggins,Defender,AFC Bournemouth
3390,Dan Gosling,Midfielder,AFC Bournemouth
2338,Andrew Surman,Midfielder,AFC Bournemouth
8049,Marc Pugh,Midfielder,AFC Bournemouth
8050,Harry Arter,Midfielder,AFC Bournemouth
10766,Lewis Cook,Midfielder,AFC Bournemouth
3766,Junior Stanislas,Midfielder,AFC Bournemouth
10734,Emerson Hyndman,Midfielder,AFC Bournemouth
8052,Ryan Fraser,Midfielder,AFC Bournemouth
4527,Jordon Ibe,Midfielder,AFC Bournemouth
7985,Connor Mahoney,Midfielder,AFC Bournemouth
1526,Jermain Defoe,Forward,AFC Bournemouth
4040,Benik Afobe,Forward,AFC Bournemouth
12815,Max Gradel,Forward,AFC Bournemouth
8454,Callum Wilson,Forward,AFC Bournemouth
3926,Joshua King,Forward,AFC Bournemouth
19603,Lys Mousset,Forward,AFC Bournemouth
12192,Mat Ryan,Goalkeeper,Brighton and Hove Albion
13228,Niki Mäenpää,Goalkeeper,Brighton and Hove Albion
8162,Bruno,Defender,Brighton and Hove Albion
5721,Gaëtan Bong,Defender,Brighton and Hove Albion
13229,Uwe Hünemeier,Defender,Brighton and Hove Albion
8163,Lewis Dunk,Defender,Brighton and Hove Albion
9634,Connor Goldson,Defender,Brighton and Hove Albion
3601,Shane Duffy,Defender,Brighton and Hove Albion
2464,Liam Rosenior,Defender,Brighton and Hove Albion
5428,Markus Suttner,Defender,Brighton and Hove Albion
22542,Pascal Groß,Midfielder,Brighton and Hove Albion
8168,Dale Stephens,Midfielder,Brighton and Hove Albion
5156,Beram Kayal,Midfielder,Brighton and Hove Albion
13232,Jiri Skalak,Midfielder,Brighton and Hove Albion
8982,Anthony Knockaert,Midfielder,Brighton and Hove Albion
2007,Steve Sidwell,Midfielder,Brighton and Hove Albion
8171,Solly March,Midfielder,Brighton and Hove Albion
4284,Rohan Ince,Midfielder,Brighton and Hove Albion
3173,Kazenga Lua Lua,Midfielder,Brighton and Hove Albion
9581,Jamie Murphy,Midfielder,Brighton and Hove Albion
13231,Henrik Rorvik Bjørdal,Midfielder,Brighton and Hove Albion
23556,Mathias Normann,Midfielder,Brighton and Hove Albion
4711,Sam Baldock,Forward,Brighton and Hove Albion
13234,Tomer Hemed,Forward,Brighton and Hove Albion
4772,Glenn Murray,Forward,Brighton and Hove Albion
13235,Richard Towell,Forward,Brighton and Hove Albion
4674,Isaiah Brown,Forward,Brighton and Hove Albion
2933,Tom Heaton,Goalkeeper,Burnley
10079,Nick Pope,Goalkeeper,Burnley
4487,Matthew Lowton,Defender,Burnley
3909,Ben Mee,Defender,Burnley
3999,Stephen Ward,Defender,Burnley
8143,James Tarkowski,Defender,Burnley
3837,Kevin Long,Defender,Burnley
8234,Tom Anderson,Defender,Burnley
8691,Charlie Taylor,Defender,Burnley
